Routeid,Stop,Latitude,Longitude
73152,1,-93.160978,35.251789
73152,2,-93.166297,35.267086
73152,3,-93.17807,35.27947
73152,4,-93.19753,35.28099
73152,5,-93.20151,35.29343
73152,6,-93.18492,35.30272
73152,7,-93.17061,35.30212
73152,8,-93.16228,35.29401
73152,9,-93.14692,35.28947
73152,10,-93.13403,35.28143
73404,1,-92.80522,35.48955
73404,2,-92.82026,35.48955
73404,3,-92.83228,35.491
73404,4,-92.83871,35.49866
73404,5,-92.83636,35.51304
73404,6,-92.83699,35.52647
73404,7,-92.84704,35.53722
73404,8,-92.8353,35.53937
73404,9,-92.8186,35.54296
73404,10,-92.80766,35.5384
79402,1,-93.04483,35.5321
79402,2,-93.05646,35.53572
79402,3,-93.05646,35.53825
79402,4,-93.08911,35.53233
79402,5,-93.09696,35.52274
79402,6,-93.08512,35.5123
79402,7,-93.07026,35.50444
79402,8,-93.05854,35.49449
79402,9,-93.05162,35.48544
79402,10,-93.04471,35.47478
79403,1,-92.90948,35.12737
79403,2,-92.92562,35.12601
79403,3,-92.93514,35.11699
79403,4,-92.95105,35.11466
79403,5,-92.96507,35.11729
79403,6,-92.98026,35.11533
79403,7,-92.99643,35.11255
79403,8,-93.0121,35.11836
79403,9,-93.02984,35.11957
79403,10,-93.04674,35.11481
79404,1,-90.286874,35.518282
79404,2,-90.278212,35.518235
79404,3,-90.268699,35.518337
79404,4,-90.267582,35.532791
79404,5,-90.257751,35.541705
79404,6,-90.24222,35.53933
79404,7,-90.224832,35.539148
79404,8,-90.20691,35.538908
79404,9,-90.189133,35.538839
79404,10,-90.171141,35.538605
79405,1,-93.54804,35.13627
79405,2,-93.5544,35.14341
79405,3,-93.5673,35.15118
79405,4,-93.58242,35.15587
79405,5,-93.59839,35.15866
79405,6,-93.5964,35.16099
79405,7,-93.60484,35.16189
79405,8,-93.62071,35.16716
79405,9,-93.61009,35.1768
79405,10,-93.59341,35.17551
140001,1,-123.003554,41.823245
140002,1,-122.526466,41.141972
140003,1,-121.255401,41.099305
140004,1,-124.140708,41.697804
140005,1,-124.123343,40.243194
140007,1,-122.30442,40.352731
140009,1,-120.698279,40.575899
140010,1,-123.224601,39.264892
140011,1,-122.94097,39.523283
140012,1,-121.734084,39.275432
140013,1,-120.7618,39.11981
140013,2,-120.76767,39.13334
140013,3,-120.76589,39.14416
140013,4,-120.75526,39.1536
140013,5,-120.7416,39.15903
140013,6,-120.72872,39.15068
140013,7,-120.71681,39.14229
140013,8,-120.69832,39.13752
140013,9,-120.68344,39.14654
140013,10,-120.66988,39.15465
140014,1,-123.5857,38.803776
140015,1,-122.240249,38.978729
140016,1,-121.75222,38.087667
140017,1,-120.212165,38.356344
140018,1,-119.836257,38.343238
140019,1,-122.470961,37.684938
140020,1,-121.166053,37.924876
140021,1,-120.863639,37.597432
140022,1,-119.63021,37.367085
140023,1,-118.151671,37.285629
140024,1,-119.835875,36.547149
140025,1,-121.175025,36.762364
140026,1,-120.304885,36.312716
140027,1,-119.439506,36.771223
140028,1,-118.992781,36.267516
140029,1,-117.573791,36.712667
140030,1,-117.885947,36.155871
140031,1,-117.213836,36.538174
140032,1,-120.530593,35.808677
140033,1,-119.163901,35.18006
140034,1,-118.078002,35.733569
140035,1,-117.917228,35.08779
140036,1,-116.915854,35.301765
140037,1,-115.703116,35.473425
140038,1,-120.06567,34.505472
140039,1,-119.314254,34.357131
140040,1,-118.56356,34.840458
140041,1,-117.004874,34.623629
140042,1,-119.33203,34.833949
140043,1,-115.489837,34.510861
140045,1,-118.291808,33.79092
140046,1,-117.121467,33.928517
140047,1,-116.801185,33.39888
140048,1,-115.1445,33.044667
140049,1,-114.729232,33.404861
140050,1,-117.124577,32.543428
140050,2,-117.107546,32.542866
140050,3,-117.094928,32.544691
140050,4,-117.07935,32.545641
140050,5,-117.059515,32.542859
140050,6,-117.04521,32.547725
140050,7,-117.032432,32.543018
140050,8,-117.040819,32.563315
140050,9,-117.026674,32.564336
140050,10,-117.01518,32.564336
140051,1,-116.209251,32.877518
140052,1,-121.281302,36.824298
140053,1,-120.520167,36.225313
140054,1,-119.304755,36.631599
140055,1,-118.898978,36.080177
140056,1,-117.67771,36.315913
140057,1,-120.888,35.25708
140058,1,-117.761169,37.226749
140059,1,-117.801,35.609317
140059,2,-117.795983,35.595317
140059,3,-117.788617,35.5833
140059,4,-117.7812,34.571183
140059,5,-117.7696,35.560817
140059,6,-117.758467,35.551917
140059,7,-117.75355,35.537133
140059,8,-117.7484,35.5246
140059,9,-117.7432,35.510567
140059,10,-117.737933,35.496933
140060,1,-117.146674,34.850561
140061,1,-116.961532,35.026371
140062,1,-115.428917,35.540802
140063,1,-117.35501,35.795204
140064,1,-116.194785,35.801144
140065,1,-116.143409,35.109251
140066,1,-116.828956,34.333385
140067,1,-115.243377,34.73268
140068,1,-115.647048,34.975169
140069,1,-115.104094,34.088329
140070,1,-115.691154,33.436718
140071,1,-122.866897,38.04535
140072,1,-121.070335,38.899273
140073,1,-120.712821,41.679698
140074,1,-123.785422,41.200456
140075,1,-124.16365,40.528072
140076,1,-120.365493,40.798887
140077,1,-122.291373,40.873595
140078,1,-120.632667,39.784653
140079,1,-121.701857,39.984326
140080,1,-122.239005,39.763342
140081,1,-123.582259,39.161227
140082,1,-119.823737,38.77546
140083,1,-122.590949,37.985124
140084,1,-118.529616,37.800221
140085,1,-116.945502,34.458453
140086,1,-114.407882,34.489623
140088,1,-115.801627,33.673857
140089,1,-115.484778,33.22005
140090,1,-114.623,33.61718
140091,1,-117.015746,32.969623
140092,1,-115.433898,32.84716
140093,1,-114.472633,32.881891
140094,1,-116.936363,34.999516
140095,1,-120.289527,38.55627
140096,1,-119.194304,38.175216
140097,1,-122.38223,40.51625
140097,2,-122.39706,40.5075
140097,3,-122.41527,40.50469
140097,4,-122.43548,40.50163
140097,5,-122.45564,40.50086
140097,6,-122.47479,40.49615
140097,7,-122.49809,40.49443
140097,8,-122.51617,40.49295
140097,9,-122.52876,40.49096
140097,10,-122.55042,40.48985
140098,1,-121.035689,38.720224
140099,1,-118.374282,33.365738
