"ProjectName","RouteName","PointID","Interval1","Interval2","Interval3","Interval4","Interval5","Interval6","Interval7","Interval8","Interval9","Interval10","file","year"
"DEEP- Summer Night Bird Surveys","NB65","NB65-09","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB65","NB65-10","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB86","NB86-01","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB86","NB86-02","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB86","NB86-03","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB86","NB86-04","2","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB86","NB86-05","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB86","NB86-06","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB86","NB86-07","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB86","NB86-08","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB86","NB86-09","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB86","NB86-10","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB86","NB86-10","2","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB89","NB89-01","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB89","NB89-02","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
