"random_route_name","selected","BBS_route","Longitude.BBS","Latitude.BBS","distance","X.random","Y.random","ST","BCR"
"27-FL-28",0,"840-25-138",-81.806917,30.0999167,19.8135264358053,-81.4973042697547,30.2026704456976,"FL",27
"27-FL-28",0,"840-25-38",-81.8070759,30.0999027,19.8227375473624,-81.4973042697547,30.2026704456976,"FL",27
"27-FL-30",0,"840-25-11",-83.3782062,29.6686989,4.23880822405308,-83.3235987175242,29.6298214488962,"FL",27
"27-FL-30",0,"840-25-84",-83.0674784,29.6862263,15.8640668932802,-83.3235987175242,29.6298214488962,"FL",27
"27-FL-32",0,"840-25-15",-84.9762879,29.9877641,3.92071261196864,-84.9567941874677,29.9335905347727,"FL",27
"27-FL-34",0,"840-25-159",-82.810872,30.018918,4.63748216419767,-82.7392069478191,29.9933538236962,"FL",27
"27-FL-34",0,"840-25-59",-82.811155,30.0205957,4.69833586062183,-82.7392069478191,29.9933538236962,"FL",27
"27-FL-35",0,"840-25-137",-82.1626039,30.2516797,13.2215914702005,-81.984292651561,30.3653481211756,"FL",27
"27-FL-35",0,"840-25-37",-82.1623546,30.2531989,13.147428438516,-81.984292651561,30.3653481211756,"FL",27
"27-FL-35",0,"840-25-60",-81.9519897,30.5196049,10.8304376965655,-81.984292651561,30.3653481211756,"FL",27
"27-FL-10",1,"840-25-3",-86.4809129,30.5193157,17.401001346146,-86.7340797685176,30.645508297392,"FL",27
"27-FL-10",1,"840-25-52",-86.7860494,30.7209289,6.0573381547406,-86.7340797685176,30.645508297392,"FL",27
"27-FL-10",1,"840-25-920",-86.7556245,30.4264141,15.1921702009043,-86.7340797685176,30.645508297392,"FL",27
"27-FL-15",1,"840-25-108",-85.0052085,30.3242578,8.75760095754165,-84.8746619034569,30.3823535680676,"FL",27
"27-FL-15",1,"840-25-4",-85.1334541,30.5288404,18.4396723053818,-84.8746619034569,30.3823535680676,"FL",27
"27-FL-15",1,"840-25-57",-84.6639032,30.387698,12.5673103411755,-84.8746619034569,30.3823535680676,"FL",27
"27-FL-15",1,"840-25-8",-84.9914239,30.3358457,7.66711045515291,-84.8746619034569,30.3823535680676,"FL",27
"27-FL-15",1,"840-25-901",-84.6552242,30.2634445,15.4525778854488,-84.8746619034569,30.3823535680676,"FL",27
"27-FL-16",1,"840-25-105",-85.2717359,30.3715757,14.1029657997072,-85.5062104203103,30.3446012180511,"FL",27
"27-FL-16",1,"840-25-5",-85.2869789,30.3372497,13.082648190746,-85.5062104203103,30.3446012180511,"FL",27
"27-FL-19",1,"840-25-6",-84.0413094,30.5950194,9.02690386242562,-84.1818231336519,30.6444851436057,"FL",27
"27-FL-21",1,"840-25-105",-85.2717359,30.3715757,19.0231214419636,-85.4705570177471,30.5870846333866,"FL",27
"27-FL-21",1,"840-25-54",-85.2426415,30.5335474,14.0555365324798,-85.4705570177471,30.5870846333866,"FL",27
"27-FL-24",1,"840-25-107",-85.836483,30.53685,10.4801106063469,-85.9462589434907,30.4182909586299,"FL",27
"27-FL-24",1,"840-25-2",-86.2758321,30.3755433,19.8620384742745,-85.9462589434907,30.4182909586299,"FL",27
"27-FL-24",1,"840-25-7",-85.9004499,30.3898527,3.36345067733932,-85.9462589434907,30.4182909586299,"FL",27
"27-FL-25",1,"840-25-138",-81.806917,30.0999167,18.9519482126694,-81.8578846437603,29.8291994845717,"FL",27
"27-FL-25",1,"840-25-38",-81.8070759,30.0999027,18.9494646884006,-81.8578846437603,29.8291994845717,"FL",27
"27-FL-26",1,NA,NA,NA,NA,-87.1974786083414,30.6346957521071,"FL",27
"27-FL-27",1,"840-25-56",-83.6676053,30.2929508,19.7642535075633,-83.5020627629047,30.540832754404,"FL",27
"27-FL-27",1,"840-25-58",-83.3399191,30.3506092,16.3102912556859,-83.5020627629047,30.540832754404,"FL",27
"27-FL-27",1,"840-25-61",-83.2158819,30.5193097,17.0967052697255,-83.5020627629047,30.540832754404,"FL",27
"27-FL-29",1,"840-25-159",-82.810872,30.018918,16.1977511305219,-82.6478541689081,30.2061953950275,"FL",27
"27-FL-29",1,"840-25-59",-82.811155,30.0205957,16.1154889145722,-82.6478541689081,30.2061953950275,"FL",27
"27-FL-29",1,"840-25-917",-82.4080153,30.2200916,14.3523850309471,-82.6478541689081,30.2061953950275,"FL",27
"27-FL-31",1,"840-25-52",-86.7860494,30.7209289,19.4351913633264,-86.9026120796184,30.983816074216,"FL",27
"27-FL-33",1,NA,NA,NA,NA,-81.5097089466373,30.430798124819,"FL",27
"27-FL-36",1,"840-25-904",-85.1179618,30.9635097,8.98852830552715,-85.2583655328315,30.9143011690631,"FL",27
"27-FL-9",1,"840-25-2",-86.2758321,30.3755433,18.8808761072563,-86.2605199945279,30.6484905621729,"FL",27
"27-FL-9",1,"840-25-3",-86.4809129,30.5193157,15.8591168402414,-86.2605199945279,30.6484905621729,"FL",27
"27-FL-9",1,"840-25-53",-86.1160696,30.7184797,9.85178429140039,-86.2605199945279,30.6484905621729,"FL",27
"31-FL-37",0,"840-25-68",-81.5469756,28.6901383,18.4077200262572,-81.3359628402214,28.4986924408814,"FL",31
"31-FL-37",0,"840-25-69",-81.3372759,28.3225489,12.1706234663735,-81.3359628402214,28.4986924408814,"FL",31
"31-FL-38",0,"840-25-72",-81.5833199,27.4266407,19.0680924301847,-81.7472926824889,27.1922585202626,"FL",31
"31-FL-38",0,"840-25-86",-81.7610009,26.9459847,17.0367922250591,-81.7472926824889,27.1922585202626,"FL",31
"31-FL-38",0,"840-25-916",-81.9587398,26.9950167,18.8385658080607,-81.7472926824889,27.1922585202626,"FL",31
"31-FL-39",0,"840-25-175",-80.4489977,27.8610752,18.2212487981346,-80.3965839750855,27.6014690618479,"FL",31
"31-FL-39",0,"840-25-75",-80.4486919,27.8600237,18.1464436413876,-80.3965839750855,27.6014690618479,"FL",31
"31-FL-40",0,"840-25-76",-80.5359109,26.3358707,17.1907815569781,-80.7927978025938,26.2417559461402,"FL",31
"31-FL-40",0,"840-25-912",-80.5399018,26.3353906,16.9495245597418,-80.7927978025938,26.2417559461402,"FL",31
"31-FL-41",0,"840-25-64",-81.1983453,29.4080424,7.4708379339396,-81.170067016573,29.5133283587726,"FL",31
"31-FL-44",0,"840-25-176",-80.3893099,26.6850447,14.6005671666154,-80.5905945708369,26.5742351847285,"FL",31
"31-FL-44",0,"840-25-76",-80.5359109,26.3358707,16.8132093851776,-80.5905945708369,26.5742351847285,"FL",31
"31-FL-44",0,"840-25-912",-80.5399018,26.3353906,16.797874737946,-80.5905945708369,26.5742351847285,"FL",31
"31-FL-46",0,"840-25-21",-81.8343049,29.8970697,18.3274432413455,-81.780836297652,29.6359059878129,"FL",31
"31-FL-46",0,"840-25-63",-81.8774959,29.5359317,9.02466934235995,-81.780836297652,29.6359059878129,"FL",31
"31-FL-46",0,"840-25-903",-81.8082819,29.3967527,16.6061173150649,-81.780836297652,29.6359059878129,"FL",31
"31-FL-48",0,"840-25-135",-80.9335333,25.1388716,11.4509904123906,-80.7994863213639,25.251809040935,"FL",31
"31-FL-48",0,"840-25-907",-80.6136693,25.4058076,15.7442181477143,-80.7994863213639,25.251809040935,"FL",31
"31-FL-50",0,"840-25-74",-80.5471555,27.2364427,6.82524664419757,-80.5460822877825,27.3352209518198,"FL",31
"31-FL-51",0,"840-25-132",-82.0333415,26.9297114,8.93423605833854,-82.1475237817806,27.0094870469491,"FL",31
"31-FL-51",0,"840-25-910",-81.9247336,26.8177916,19.0743878671525,-82.1475237817806,27.0094870469491,"FL",31
"31-FL-51",0,"840-25-916",-81.9587398,26.9950167,11.664744157054,-82.1475237817806,27.0094870469491,"FL",31
"31-FL-52",0,"840-25-68",-81.5469756,28.6901383,11.9714032523569,-81.4810957270065,28.8534960198504,"FL",31
"31-FL-53",0,"840-25-178",-80.4147339,25.618989,16.6898272508542,-80.6621734032435,25.5266283815384,"FL",31
"31-FL-53",0,"840-25-35",-80.7663639,25.6579667,11.1580680014796,-80.6621734032435,25.5266283815384,"FL",31
"31-FL-53",0,"840-25-78",-80.4097679,25.6040397,16.6164727121483,-80.6621734032435,25.5266283815384,"FL",31
"31-FL-53",0,"840-25-79",-80.5425082,25.4912637,7.85196344398843,-80.6621734032435,25.5266283815384,"FL",31
"31-FL-53",0,"840-25-907",-80.6136693,25.4058076,8.87933845943189,-80.6621734032435,25.5266283815384,"FL",31
