"random_route_name","selected","existing_route","Longitude.existing","Latitude.existing","distance","X.random","Y.random","ST","BCR"
"28-PA-418",0,"PA_0181",-75.613753,40.454469,5.19853999089703,-75.5377785661001,40.5026486674664,"PA",28
"28-PA-421",0,"PA_0901",-76.282776,41.617468,12.0458033412022,-76.4996557629458,41.6817493115377,"PA",28
"28-PA-422",0,"PA_0086",-75.34359,40.804005,9.29860575399632,-75.5002095745874,40.8678055255081,"PA",28
"28-PA-422",0,"PA_0903",-75.522788,40.830061,2.86245889532149,-75.5002095745874,40.8678055255081,"PA",28
"28-PA-427",0,NA,NA,NA,NA,-80.4199685199079,40.5272672976336,"PA",28
"28-PA-433",0,"PA_0044",-75.420556,41.79521,11.1668932032378,-75.540829555029,41.9297375821405,"PA",28
"28-PA-433",0,"PA_0040",-75.314599,41.884506,12.0455437908934,-75.540829555029,41.9297375821405,"PA",28
"28-PA-433",0,"PA_1481",-75.754467,41.865767,11.8428379349843,-75.540829555029,41.9297375821405,"PA",28
"28-PA-433",0,"PA_9343",-75.617963,41.941243,4.04345330562571,-75.540829555029,41.9297375821405,"PA",28
"28-PA-434",0,"PA_0001",-80.051879,41.081206,5.61279327192269,-79.9964051156016,41.0115730494349,"PA",28
"28-PA-434",0,"PA_0011",-79.833061,41.047384,8.86609903939454,-79.9964051156016,41.0115730494349,"PA",28
"28-PA-434",0,"PA_0045",-80.151252,40.918355,10.332045295554,-79.9964051156016,41.0115730494349,"PA",28
"28-PA-434",0,"PA_0101",-80.0351,41.07084,4.56453162211571,-79.9964051156016,41.0115730494349,"PA",28
"28-PA-435",0,NA,NA,NA,NA,-78.64014647798,40.1194540320326,"PA",28
"28-PA-436",0,NA,NA,NA,NA,-78.4673730706136,41.0942982808902,"PA",28
"28-PA-438",0,"PA_0049",-79.237601,40.624361,16.1505085817041,-78.9931192263439,40.4824708331568,"PA",28
"28-PA-438",0,"PA_0057",-78.994346,40.475771,0.467382766775906,-78.9931192263439,40.4824708331568,"PA",28
"28-PA-441",0,NA,NA,NA,NA,-76.4277662446172,40.6925837300678,"PA",28
"28-PA-442",0,"PA_0151",-79.578148,40.374819,10.3989317646084,-79.5876687313577,40.5251498765476,"PA",28
"28-PA-442",0,"PA_0052",-79.481185,40.489762,6.10495270861534,-79.5876687313577,40.5251498765476,"PA",28
"28-PA-442",0,"PA_0051",-79.668181,40.468759,5.75113266933558,-79.5876687313577,40.5251498765476,"PA",28
